"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Puede editar un cupón DNI Pago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIsPago","encargadoFlujoCupones.spec.ts","",""
"","0","Puede crear un nuevo cupón DNI y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIs","encargadoFlujoCupones.spec.ts","",""
"","0","Muestra mensaje si el canjeador ya posee el rol indicado","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Canjeadores","encargadoFlujoRoles.spec.ts","",""
"","0","Puede crear un grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","encargadoFlujoGrupos.spec.ts","",""
"","0","Muestra error cuando no se selecciona un día para el cupón DNI","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIs","encargadoFlujoCupones.spec.ts","",""
"","0","Muestra mensaje si el vendedor ya posee el rol indicado","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Vendedores","encargadoFlujoRoles.spec.ts","",""
"","0","Debe mostrar error si el email es correcto pero la contraseña incorrecta","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Tests del login","login.spec.ts","",""
"","0","Puede crear un nuevo cupón DNI Pago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIsPago","encargadoFlujoCupones.spec.ts","",""
"","0","Puede agregar un nuevo cupón a un grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","encargadoFlujoGrupos.spec.ts","",""
"","0","Muestra error cuando no se selecciona un día para el cupón QR","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's","encargadoFlujoCupones.spec.ts","",""
"","0","Muestra error cuando no se ingresa un precio para el cupón QR Pago","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's Pago","encargadoFlujoCupones.spec.ts","",""
"","0","Muestra error si no se selecciona vendedor al crear grupo","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Grupos de Vendedores","encargadoFlujoGrupos.spec.ts","",""
"","0","Error cuando no se ingresa contraseña","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Registro de usuario","register.spec.ts","",""
"","0","Puede eliminar un supervisor existente y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Supervisores","encargadoFlujoRoles.spec.ts","",""
"","0","Puede crear un nuevo cupón QR Pago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's Pago","encargadoFlujoCupones.spec.ts","",""
"","0","Puede eliminar un cupón QR y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's","encargadoFlujoCupones.spec.ts","",""
