"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Encargado","0","Gestión de Cupones","6","0","Cupones QR's Pago","0"
"0","Encargado","0","Gestión de Cupones","5","0","Cupones DNI's Free","0"
"0","","0","Register","6","0","Validaciones en registro de cuenta","0"
"0","Encargado","0","Gestión de Roles","3","0","Gestión de Canjeadores","0"
"0","Encargado","0","Gestión de Cupones","5","0","Cupones QR's Consumibles y Virales","0"
"0","Encargado","0","Gestión de Cupones","6","0","Cupones DNIsPago","0"
"0","","0","Login","1","0","Formato de email inválido","0"
"0","Encargado","0","Gestión de Grupos de Vendedores","8","0","Creación de grupos","0"
"0","","0","Login","2","0","Credenciales inválidas","0"
"0","Encargado","0","Gestion de Grupos de Cupones","12","0","Creación de grupos","0"
"0","Encargado","0","Gestión de Roles","3","0","Gestión de Supervisores","0"
"0","","0","Login","1","0","Olvide mi Contraseña","0"
"0","","0","Login","2","0","Validación de campos vacíos","0"
"0","","0","Login","1","0","Autenticación exitosa","0"
"0","Encargado","0","Gestión de Roles","3","0","Gestión de Vendedores","0"
