"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que un encargado pueda eliminar un grupo de cupones DNI y reciba confirmación de éxito","9898","Puede eliminar un grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 16:22:44 GMT-03:00 2025","passed","Fri Aug 08 16:22:54 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","","",""
"Verifica que un encargado pueda eliminar un vendedor existente y recibir confirmación de la operación","11978","Puede eliminar un vendedor existente y ver confirmación","chromium","Fri Aug 08 16:24:53 GMT-03:00 2025","passed","Fri Aug 08 16:25:05 GMT-03:00 2025","Gestión de Roles > Gestión de Vendedores","","",""
"Verifica que se muestre un error si no se ingresa nombre al crear un grupo de vendedores","13461","Muestra error si no se ingresa nombre al crear grupo","chromium","Fri Aug 08 16:21:17 GMT-03:00 2025","passed","Fri Aug 08 16:21:30 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"","6976","Debe mostrar mensaje de error si el email no contiene ""@""","chromium","Fri Aug 08 16:26:32 GMT-03:00 2025","passed","Fri Aug 08 16:26:39 GMT-03:00 2025","Tests del login","","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón DNI sin nombre","17871","Muestra error cuando no se ingresa el nombre del cupón de tipo DNI","chromium","Fri Aug 08 16:12:41 GMT-03:00 2025","passed","Fri Aug 08 16:12:59 GMT-03:00 2025","Gestión de Cupones > DNIs","","",""
"Verifica que se muestre un error si no se ingresa nombre al modificar el grupo de vendedores","12272","Muestra error si no se ingresa nombre al modificar grupo de vendedores","chromium","Fri Aug 08 16:20:13 GMT-03:00 2025","passed","Fri Aug 08 16:20:26 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"Verifica que un encargado pueda agregar un nuevo cupón a un grupo de cupones DNI existente y reciba confirmación de éxito","11962","Puede agregar un nuevo cupón a un grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 16:22:18 GMT-03:00 2025","passed","Fri Aug 08 16:22:30 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","","",""
"Verifica que un encargado pueda modificar el nombre de un grupo de cupones DNI y reciba confirmación de éxito","12996","Puede modificar el nombre del grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 16:23:30 GMT-03:00 2025","passed","Fri Aug 08 16:23:43 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","","",""
"","8085","Error cuando no se ingresa email","chromium","Fri Aug 08 16:27:25 GMT-03:00 2025","passed","Fri Aug 08 16:27:33 GMT-03:00 2025","Registro de usuario","","",""
"","6303","Error cuando no se carga una imagen","chromium","Fri Aug 08 16:27:41 GMT-03:00 2025","passed","Fri Aug 08 16:27:47 GMT-03:00 2025","Registro de usuario","","",""
